Player,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played
Al-farouq Aminu,POR,Small Forward,4.3,1.5,1.7,0.6,8.8,3.6,1.9,1.4,28.6,2.1,10.2,1.2,0.9,6.1,1.5,82
Will Barton,DEN,Shooting Guard,4,1.4,2.5,0.5,12,5.2,3.3,2.6,28.7,1.8,14.4,0.7,0.9,5.8,1.7,82
Bismack Biyombo,TOR,Power Forward,0,0,0.4,1.6,3.5,1.9,2.8,1.7,22.1,2.7,5.5,2.2,0.2,8,0.9,82
Corey Brewer,HOU,Shooting Guard,2.7,0.7,1.3,0.2,6.7,2.6,1.7,1.3,20.4,2,7.2,0.5,1,2.4,1,82
Gorgui Dieng,MIN,Center,0.2,0.1,1.7,1.2,7,3.8,3,2.5,27.1,2.7,10.1,1.9,1.1,7.1,1.7,82
Langsto Galloway,NYK,Point Guard,2.7,0.9,2.5,0.3,7.2,2.8,1.4,1,24.8,2.2,7.6,0.5,0.9,3.5,0.7,82
James Harden,HOU,Shooting Guard,8,2.9,7.5,0.6,19.7,8.7,10.2,8.8,38.1,2.8,29,0.8,1.7,6.1,4.6,82
Al Horford,ATL,Power Forward,3.1,1.1,3.2,1.5,12.8,6.5,1.6,1.3,32.2,2,15.2,1.8,0.8,7.3,1.3,82
Enes Kanter,OKL,Center,0.3,0.1,0.4,0.4,8.8,5.1,3.1,2.4,21,2,12.7,3,0.3,8.1,1.4,82
Zach Lavine,MIN,Point Guard,3.9,1.5,3.1,0.2,11.7,5.3,2.5,2,28,2.4,14,0.3,0.8,2.8,1.9,82
Robin Lopez,NYK,Center,0,0,1.4,1.6,8.1,4.4,2,1.6,27,2.2,10.3,3.3,0.2,7.3,1.6,82
Shabazz Muhammad,MIN,Small Forward,1.9,0.5,0.6,0.1,8.3,3.9,3,2.3,20.5,1.1,10.5,1.2,0.3,3.3,0.9,82
Mason Plumlee,POR,Power Forward,0,0,2.8,1,6.3,3.3,4.1,2.6,25.5,3.1,9.1,2.5,0.8,7.7,1.9,82
Ramon Sessions,WAS,Point Guard,1.4,0.4,2.9,0.1,7.2,3.4,3.5,2.6,20.3,1.2,9.9,0.3,0.6,2.5,1.4,82
Isaiah Thomas,BOS,Point Guard,5.7,2,6.2,0.1,16.9,7.2,6.6,5.8,32.3,2,22.2,0.6,1.1,3,2.7,82
Tristan Thompson,CLE,Center,0,0,0.8,0.6,5.1,3,3,1.8,27.7,2.5,7.8,3.3,0.5,9,0.7,82
Karl-Anthony Towns,MIN,Center,1.1,0.4,2,1.7,14,7.6,3.4,2.7,32,3,18.3,2.8,0.7,10.4,2.2,82
P.J. Tucker,PHO,Small Forward,2.5,0.8,2.2,0.2,7.1,2.9,1.7,1.3,31,2.5,8,2,1.3,6.2,1.4,82
Trevor Ariza,HOU,Small Forward,6.1,2.3,2.3,0.3,10.6,4.4,2,1.6,35.3,2.2,12.7,0.8,2,4.5,1.4,81
Aron Baynes,DET,Power Forward,0,0,0.6,0.6,4.7,2.4,2,1.6,15.3,1.9,6.3,1.7,0.3,4.7,0.8,81
Allen Crabbe,POR,Small Forward,3.5,1.4,1.2,0.2,8.4,3.9,1.4,1.2,26.1,2.4,10.3,0.3,0.8,2.7,0.8,81
Ed Davis,POR,Power Forward,0,0,1.1,0.9,4.2,2.5,2.5,1.4,20.8,2.5,6.5,2.8,0.7,7.4,0.8,81
Andre Drummond,DET,Center,0.1,0,0.8,1.4,13.1,6.8,7.2,2.6,32.9,3,16.2,4.9,1.5,14.8,1.9,81
Jared Dudley,WAS,Shooting Guard,3,1.2,2.1,0.2,6,2.9,1.2,0.9,25.9,2.3,7.9,0.7,0.9,3.5,1,81
Monta Ellis,IND,Point Guard,3.5,1.1,4.7,0.5,12.6,5.4,2.5,2,33.7,2.1,13.8,0.5,1.8,3.4,2.5,81
Randy Foye,OKC,Shooting Guard,3.1,0.9,2,0.4,5.9,2.1,0.9,0.8,20.2,1.6,5.8,0.3,0.5,1.9,1.1,81
Paul George,IND,Small Forward,7,2.6,4.1,0.4,17.9,7.5,6.5,5.6,34.9,2.8,23.1,1,1.9,7,3.3,81
Draymond Green,GSW,Small Forward,3.2,1.2,7.4,1.4,10.1,5,4.1,2.8,34.7,3,14,1.6,1.5,9.4,3.2,81
Roy Hibbert,LAL,Center,0,0,1.2,1.4,5.1,2.2,1.8,1.4,23.2,3.1,5.9,1.6,0.4,4.9,0.9,81
Joe Ingles,UTA,Small Forward,2.6,1,1.2,0,3.6,1.5,0.2,0.2,15.3,1.2,4.2,0.2,0.7,1.9,0.8,81
Joe Johnson,MIA,Small Forward,3.9,1.5,3.9,0,10.6,4.7,1.8,1.5,33.4,1.8,12.2,0.6,0.8,3.6,2,81
