Player,Player Anonymized,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds)
Devin Harris,166,DAL,Point Guard,2.5,0.8,1.8,0.2,5.8,2.6,2.2,1.6,20,1.9,7.6,0.3,0.9,2.2,1,64,75,192
Meyers Leonard,177,POR,Center,3.7,1.4,1.5,0.3,7.1,3.2,0.8,0.6,21.8,3,8.3,0.8,0.1,5.1,1.3,61,85,245
Enes Kanter,220,OKL,Center,0.3,0.1,0.4,0.4,8.8,5.1,3.1,2.4,21,2,12.7,3,0.3,8.1,1.4,82,83,267
E'twaun Moore,306,CHI,Shooting Guard,1.8,0.8,1.7,0.3,6.6,3.2,0.6,0.4,21.4,1.7,7.5,0.3,0.6,2.3,0.9,59,76,192
Dante Cunningham,309,NOR,Power Forward,2.2,0.7,1,0.4,5.2,2.3,1,0.7,24.7,2.2,6,0.7,0.5,3,0.5,80,80,229
Greivis Vasquez,331,MIL,Point Guard,3.1,0.7,4,0,6,1.9,1.1,1,20,1.8,5.5,0.2,0.4,2,1.7,23,78,212
Briante Weber,348,MIA,Point Guard,0.7,0,3,0.4,5.6,2,0.6,0.4,24.3,1.7,4.4,1.1,1.3,3.6,1.3,7,74,165
Kelly Olynyk,402,BOS,Center,3,1.2,1.5,0.5,8.1,3.7,1.9,1.4,20.2,2.4,10,1,0.8,4.1,1.1,69,84,238
Jordan Hill,408,IND,Center,0,0,1.2,0.5,7.5,3.8,1.7,1.2,20.7,2.1,8.8,2.1,0.5,6.2,1.3,73,82,236
Gerald Green,448,MIA,Shooting Guard,3.8,1.2,0.8,0.3,8.5,3.3,1.3,1,22.6,1.8,8.9,0.4,0.5,2.4,0.7,69,80,205
Alonzo Gee,460,NOR,Small Forward,0.8,0.2,1,0.2,3.5,1.8,0.9,0.6,22.4,2.3,4.4,0.8,0.9,3.4,0.8,73,78,212
Doug McDermott,499,CHI,Small Forward,3.2,1.4,0.7,0.1,8,3.6,1,0.9,23,1.6,9.4,0.5,0.2,2.4,0.6,81,80,225
Duje Dukan,504,SAC,Power Forward,5,2,1,0,10,2,0,0,24,2,6,2,1,4,0,1,80,209
Ben McLemore,511,SAC,Shooting Guard,2.7,1,1.2,0.1,6.7,2.9,1.5,1.1,21.2,2.1,7.8,0.5,0.8,2.2,1.5,68,77,194
Bryce Dejean-jones,552,NOR,Shooting Guard,2.7,1,1.4,0.2,6.1,2.5,1.9,1,24.6,1.5,6.9,0.7,0.9,4,1,11,78,203
Stanley Johnson,558,DET,Small Forward,2.8,0.9,1.6,0.2,8.2,3.1,1.4,1.1,23.1,2.4,8.1,0.8,0.8,4.2,1.6,73,79,245
Isaiah Canaan,562,PHI,Point Guard,6.3,2.3,1.8,0.2,9.4,3.4,2.3,1.9,25.6,1.7,11,0.3,0.7,2.3,1.2,77,73,194
Donald Sloan,569,BRO,Point Guard,1.6,0.6,4.4,0.1,5.7,2.5,1.7,1.3,21.6,1.2,7,0.3,0.5,2.8,1.3,61,75,205
Brandon Bass,573,LAL,Power Forward,0,0,1.1,0.8,4.8,2.6,2.2,1.9,20.3,1.9,7.2,1.6,0.5,4.3,0.6,66,80,249
Andre Roberson,581,OKL,Shooting Guard,1.5,0.5,0.7,0.6,3.9,1.9,0.8,0.5,22.2,1.9,4.8,1.1,0.8,3.6,0.5,70,79,205
Ian Mahinmi,609,IND,Center,0,0,1.5,1.1,6.3,3.7,3.2,1.9,25.6,3.1,9.3,1.9,0.9,7.1,1.4,71,83,229
Marco Belinelli,614,SAC,Small Forward,4.4,1.3,1.9,0,9.3,3.6,2,1.7,24.6,1.3,10.2,0.1,0.5,1.7,1.2,68,77,210
Nikola Jokic,617,DEN,Center,1.1,0.3,2.4,0.6,7.5,3.8,2.4,1.9,21.7,2.6,9.9,2.3,1,7,1.3,80,83,249
Aaron Gordon,627,ORL,Power Forward,1.8,0.5,1.6,0.7,7.4,3.5,2.5,1.7,23.9,2,9.2,2,0.8,6.5,0.8,78,81,220
Tony Snell,697,CHI,Small Forward,2.4,0.9,1,0.3,5.3,2,0.5,0.5,20.3,1.6,5.3,0.3,0.2,3.1,0.8,64,79,201
Joakim Noah,704,CHI,Center,0,0,3.8,1,4.6,1.8,1.6,0.8,21.9,2.7,4.3,3,0.6,8.8,1.8,29,83,231
Amir Johnson,716,BOS,Power Forward,0.5,0.1,1.7,1.1,5.4,3.2,1.5,0.9,22.8,2.7,7.3,2.3,0.7,6.4,1.2,79,81,240
Dennis Schroeder,725,ATL,Point Guard,3,1,4.4,0.1,9.8,4.1,2.3,1.8,20.2,1.7,11,0.3,0.9,2.6,2.3,80,74,168
Cody Zeller,784,CHA,Power Forward,0.1,0,1,0.9,6,3.2,3.2,2.4,24.3,2.8,8.7,1.9,0.8,6.2,0.9,73,84,240
Gary Neal,840,WAS,Point Guard,2.5,1,1.2,0,8.1,3.8,1.4,1.2,20.2,1.4,9.8,0.3,0.5,2.1,0.8,40,76,209
Ed Davis,870,POR,Power Forward,0,0,1.1,0.9,4.2,2.5,2.5,1.4,20.8,2.5,6.5,2.8,0.7,7.4,0.8,81,82,232
Ersan Ilyasova,898,ORL,Power Forward,3.5,1.3,0.9,0.4,8.9,3.8,2.1,1.5,25.4,2.3,10.4,1.9,0.7,5.4,1,74,82,236
Darrell Arthur,927,DEN,Power Forward,1.7,0.6,1.4,0.7,7,3.2,0.8,0.6,21.7,2.6,7.5,1.2,0.8,4.2,0.9,70,81,236
C.J. Miles,929,IND,Shooting Guard,6,2.2,1,0.5,9.9,4,1.9,1.5,22.9,2.2,11.8,0.4,0.8,2.7,1.1,64,78,223
Garrett Temple,946,WAS,Shooting Guard,3.2,1.1,1.8,0.2,6.3,2.5,1.6,1.1,24.4,2.4,7.3,0.5,0.9,2.6,0.8,80,78,194
Alex Len,958,PHO,Center,0.1,0,1.2,0.8,8,3.4,3.1,2.2,23.3,2.9,9,2.3,0.5,7.6,1.9,78,85,256
Corey Brewer,993,HOU,Shooting Guard,2.7,0.7,1.3,0.2,6.7,2.6,1.7,1.3,20.4,2,7.2,0.5,1,2.4,1,82,81,187
Shabazz Muhammad,004,MIN,Small Forward,1.9,0.5,0.6,0.1,8.3,3.9,3,2.3,20.5,1.1,10.5,1.2,0.3,3.3,0.9,82,78,225
T.J. Warren,007,PHO,Small Forward,1.5,0.6,0.9,0.3,9.4,4.7,1.4,1,22.7,2,11,1.2,0.8,3.1,0.7,47,80,230
Alec Burks,681,UTA,Point Guard,2.5,1,2,0.1,10.8,4.4,4.5,3.4,25.7,2.3,13.3,0.5,0.6,3.5,1.6,31,78,203
Iman Shumpert,891,CLE,Shooting Guard,2.7,0.8,1.7,0.4,5.6,2.1,0.9,0.7,24.4,2.2,5.8,0.6,1,3.8,1,54,77,220
Lance Thomas,592,NYK,Small Forward,1.8,0.7,0.9,0.1,6.5,2.9,2,1.7,22.4,1.8,8.2,0.6,0.4,2.2,1,59,80,225
Andrew Bogut,031,GSW,Center,0,0,2.3,1.6,4,2.5,0.7,0.3,20.7,3.2,5.4,1.7,0.5,7,1.2,70,84,260
Bismack Biyombo,058,TOR,Power Forward,0,0,0.4,1.6,3.5,1.9,2.8,1.7,22.1,2.7,5.5,2.2,0.2,8,0.9,82,81,229
Austin Rivers,063,LAC,Shooting Guard,2.8,0.9,1.5,0.1,7.7,3.4,1.7,1.2,21.9,2,8.9,0.3,0.7,1.9,0.9,67,76,201
J.J. Barea,071,DAL,Point Guard,3.5,1.4,4.1,0,9.6,4.3,1.3,1,22.5,1.5,10.9,0.4,0.4,2.1,1.5,74,72,185
Al Jefferson,073,CHA,Center,0,0,1.5,0.9,10.7,5.2,2.4,1.5,23.3,2.5,12,1.2,0.6,6.4,0.7,47,82,289
Anthony Brown,082,LAL,Small Forward,2.4,0.7,0.7,0.2,4.3,1.3,0.7,0.6,20.6,1.2,4,0.3,0.5,2.4,0.5,29,79,215
Cory Joseph,083,TOR,Point Guard,1.4,0.4,3.1,0.2,7.3,3.2,2.2,1.7,25.7,1.6,8.5,0.5,0.8,2.6,1.3,80,75,185
Terrence Ross,086,TOR,Small Forward,4.6,1.8,0.8,0.3,8.6,3.7,0.8,0.7,24,1.6,9.9,0.3,0.7,2.5,0.6,73,79,195
