Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
AJ Hammons,DAL,24,Jul-00,260,Purdue,USA,2016,2,46,17,1.4,1.2,0.1,17.6,6.60%,21.70%,16.30%,45.50%,3.70%
Aaron Brooks,IND,32,Jun-00,161,Oregon,USA,2007,1,26,45,5.3,1.1,2.2,-2.1,2.20%,6.60%,19.40%,50.40%,23.50%
Aaron Gordon,ORL,21,9-Jun,220,Arizona,USA,2014,1,4,53,11.3,4.6,1.9,-4,5.20%,13.60%,19.80%,50.10%,10.30%
Aaron Harrison,CHA,22,6-Jun,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.6,0.6,-18.6,0.00%,20.00%,14.20%,10.20%,37.50%
Adreian Payne,MIN,25,10-Jun,237,Michigan State,USA,2014,1,15,12,4,1.7,0.3,-13,7.10%,18.20%,25.40%,52.60%,8.30%
Al Horford,BOS,30,10-Jun,245,Florida,Dominican Republic,2007,1,3,39,15.1,6.8,5.3,5,5.00%,17.90%,21.10%,54.10%,24.20%
Al Jefferson,IND,32,10-Jun,289,None,USA,2004,1,15,51,8.8,4.2,0.9,-8.4,8.80%,23.50%,26.30%,53.30%,11.20%
Al-Farouq Aminu,POR,26,9-Jun,220,Wake Forest,USA,2010,1,8,34,7.5,7.1,2.1,3.1,4.50%,22.60%,15.30%,45.30%,10.50%
Alan Anderson,LAC,34,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,19,3.2,1,0.5,-8.2,1.50%,8.00%,14.60%,46.60%,5.90%
Alan Williams,PHX,24,8-Jun,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,19,2.8,2.7,0.1,12.1,20.20%,24.80%,20.00%,55.00%,1.20%
Alec Burks,UTA,25,6-Jun,214,Colorado,USA,2011,1,12,16,6.6,1.6,0.6,7.3,2.10%,11.50%,22.40%,55.00%,7.30%
Alex Abrines,OKC,23,6-Jun,190,None,Spain,2013,2,32,42,5.5,1.1,0.5,-6.9,2.30%,6.90%,16.30%,56.80%,5.00%
Alex Len,PHX,23,1-Jul,260,Maryland,Ukraine,2013,1,5,50,7.2,6.3,0.5,-10.5,10.20%,25.60%,16.60%,55.20%,4.10%
Alexis Ajinca,NOP,28,2-Jul,248,None,France,2008,1,20,21,4.3,4.3,0.3,-12.8,7.90%,23.50%,16.00%,48.80%,3.60%
Allen Crabbe,POR,24,6-Jun,215,California,USA,2013,2,31,52,10.7,2.8,1.3,-5.6,1.00%,10.10%,14.90%,59.90%,6.90%
Alonzo Gee,DEN,29,6-Jun,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.1,0.5,1.4,4.60%,12.50%,10.80%,30.60%,9.20%
Amir Johnson,BOS,29,9-Jun,240,None,USA,2005,2,56,50,6.4,4.5,1.7,6,8.90%,16.40%,13.70%,61.20%,12.30%
Anderson Varejao,GSW,34,11-Jun,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-8.4,13.30%,18.80%,12.40%,47.80%,15.20%
Andre Drummond,DET,23,11-Jun,279,Connecticut,USA,2012,1,9,51,14.6,13.7,1.1,-5.2,13.70%,37.20%,23.20%,53.20%,5.80%
