Player,Player Anonymized,Team,Position,Rand,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds)
Marc Gasol,903,MEM,Center,0.876404041,0.1,0,3.8,1.3,13.6,6.3,4.7,3.9,34.5,2.7,16.6,1.1,1,7,2.3,52,85,265
Mason Plumlee,562,POR,Power Forward,0.514501398,0,0,2.8,1,6.3,3.3,4.1,2.6,25.5,3.1,9.1,2.5,0.8,7.7,1.9,82,83,236
Jona Valanciunas,324,TOR,Center,0.438421326,0,0,0.7,1.3,8.9,5,3.5,2.7,26,2.6,12.8,3.1,0.4,9.1,1.4,60,84,245
Lebron James,185,CLE,Small Forward,0.661239225,3.7,1.1,6.7,0.6,18.6,9.7,6.5,4.7,35.7,1.9,25.3,1.5,1.4,7.4,3.3,76,80,250
Eric Bledsoe,086,PHO,Point Guard,0.041467922,4.2,1.5,6.1,0.6,15.9,7.2,5.5,4.5,34.1,2.4,20.4,0.6,2,4,3.6,31,73,205
Marcus Morris,085,DET,Small Forward,0.861696037,3.7,1.4,2.5,0.3,11.8,5.1,3.4,2.5,35.6,2.1,14.1,1.1,0.8,5,1.8,80,81,236
Kyle Lowry,079,TOR,Point Guard,0.945874358,7.1,2.8,6.4,0.4,15.6,6.6,6.4,5.2,37.1,2.7,21.2,0.7,2.1,4.7,2.9,77,72,205
Gordon Hayward,058,UTA,Shooting Guard,0.694884314,5.1,1.8,3.7,0.3,15,6.5,6,4.9,36.1,2.3,19.7,0.8,1.2,5,2.5,80,80,209
Russel Westbrook,051,OKL,Point Guard,0.310735687,4.3,1.3,10.4,0.2,18.1,8.2,7.2,5.8,34.4,2.5,23.5,1.8,2,7.8,4.3,80,75,200
James Harden,049,HOU,Shooting Guard,0.590327122,8,2.9,7.5,0.6,19.7,8.7,10.2,8.8,38.1,2.8,29,0.8,1.7,6.1,4.6,82,77,225
Demarcus Cousins,047,SAC,Center,0.112134646,3.2,1.1,3.3,1.4,20.5,9.2,10.2,7.3,34.5,3.6,26.9,2.4,1.6,11.5,3.8,65,83,269
C.J. McCollum,030,POR,Shooting Guard,0.835628631,5.9,2.5,4.3,0.3,17.9,8,2.8,2.3,34.7,2.3,20.8,0.6,1.2,3.2,2.5,80,76,201
