Player,Player Anonymized,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds)
James Harden,269,HOU,Shooting Guard,8,2.9,7.5,0.6,19.7,8.7,10.2,8.8,38.1,2.8,29,0.8,1.7,6.1,4.6,82,77,225
Jimmy Butler,755,CHI,Shooting Guard,3.1,1,4.8,0.6,15.4,7,7.1,5.9,36.9,1.9,20.9,1.2,1.6,5.4,2,67,79,220
Ke Caldwell-Pope,196,DET,Shooting Guard,4.8,1.5,1.8,0.2,12.6,5.3,3,2.4,36.7,2.2,14.5,0.9,1.4,3.7,1.4,76,77,205
Gordon Hayward,809,UTA,Shooting Guard,5.1,1.8,3.7,0.3,15,6.5,6,4.9,36.1,2.3,19.7,0.8,1.2,5,2.5,80,80,209
Demar Derozan,169,TOR,Shooting Guard,1.8,0.6,4,0.3,17.7,7.9,8.4,7.1,35.9,2.1,23.5,0.8,1.1,4.5,2.2,78,79,216
C.J. McCollum,361,POR,Shooting Guard,5.9,2.5,4.3,0.3,17.9,8,2.8,2.3,34.7,2.3,20.8,0.6,1.2,3.2,2.5,80,76,201
Arron Afflalo,873,NYK,Shooting Guard,3.4,1.3,2,0.1,11.3,5,1.8,1.5,33.2,2,12.8,0.3,0.4,3.7,1.2,71,77,216
Wesley Matthews,849,DAL,Shooting Guard,6.7,2.4,1.9,0.2,10.9,4.2,1.9,1.6,33.9,2.3,12.5,0.3,1,3.1,1,78,77,220
Victor Oladipo,811,ORL,Shooting Guard,3.9,1.4,3.9,0.8,13.5,5.9,3.4,2.8,33.1,2.4,16,0.7,1.6,4.8,2.1,72,76,214
Klay Thompson,712,GSW,Shooting Guard,8.1,3.5,2.1,0.6,17.3,8.1,2.8,2.4,33.3,1.9,22.1,0.4,0.8,3.8,1.7,80,79,205
Kyle Lowry,143,TOR,Point Guard,7.1,2.8,6.4,0.4,15.6,6.6,6.4,5.2,37.1,2.7,21.2,0.7,2.1,4.7,2.9,77,72,205
John Wall,385,WAS,Point Guard,4.2,1.5,10.3,0.8,17.5,7.4,4.5,3.5,36.1,2.1,19.9,0.5,1.9,4.9,4.1,77,76,209
Brandon Knight,548,PHO,Point Guard,6.6,2.3,5,0.4,16.9,7,3.5,2.9,35.3,2.3,19.2,0.7,1.2,3.8,3.3,53,75,189
Damian Lillard,632,POR,Point Guard,8.1,3.1,6.8,0.4,19.7,8.2,6.2,5.5,35.6,2.2,25.1,0.6,0.9,4,3.2,75,75,194
Rajon Rondo,466,SAC,Point Guard,2.4,0.9,11.6,0.1,10.9,4.9,2.1,1.2,35.2,2.4,11.9,1.1,2,6.1,3.9,72,73,185
Kemba Walker,744,CHA,Point Guard,6,2.2,5.2,0.5,16.4,7,5.4,4.6,35.6,1.4,20.9,0.7,1.6,4.4,2.1,81,73,184
