Player,Player Anonymized,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds),+/-
James Harden,269,HOU,Shooting Guard,8,2,7,0,19,8,10,8,38,2,28,0,1,6,4,82,77,225,129
Jimmy Butler,755,CHI,Shooting Guard,3,0,4,0,15,7,7,5,36,1,20,1,1,5,1,67,79,220,-9
Ke Caldwell-pope,196,DET,Shooting Guard,4,1,1,0,12,5,3,2,36,2,14,0,1,3,1,76,77,205,174
Gordon Hayward,809,UTA,Shooting Guard,5,1,3,0,15,6,5,4,36,2,19,0,1,4,2,80,80,209,87
Demar Derozan,169,TOR,Shooting Guard,1,0,4,0,17,7,8,7,35,2,23,0,1,4,2,78,79,216,170
C.J. Mccollum,361,POR,Shooting Guard,5,2,4,0,17,8,2,2,34,2,20,0,1,3,2,80,76,201,148
Arron Afflalo,873,NYK,Shooting Guard,5,2,4,0,17,8,2,2,34,2,20,0,1,3,2,80,77,216,148
Wesley Matthews,849,DAL,Shooting Guard,5,2,4,0,17,8,2,2,34,2,20,0,1,3,2,80,77,220,148
Victor Oladipo,811,ORL,Shooting Guard,5,2,4,0,17,8,2,2,34,2,20,0,1,3,2,80,76,214,148
Klay Thompson,712,GSW,Shooting Guard,5,2,4,0,17,8,2,2,34,2,20,0,1,3,2,80,79,205,148
Kyle Lowry,143,TOR,Point Guard,7,2,6,0,15,6,6,5,37,2,21,0,2,4,2,77,72,205,372
John Wall,385,WAS,Point Guard,4,1,10,0,17,7,4,3,36,2,19,0,1,4,4,77,76,209,100
Brandon Knight,548,PHO,Point Guard,6,2,4,0,16,7,3,2,35,2,19,0,1,3,3,53,75,189,-208
Damian Lillard,632,POR,Point Guard,8,3,6,0,19,8,6,5,35,2,25,0,0,4,3,75,75,194,78
